name,address,district,phone,website,services,price_range,rating,review_count,lat,lon,source
Elmak,"Williama Szekspira 4 /  348, 01-913, Warszawa",Bielany,+48228359225,https://www.yelp.pl/biz/elmak-warszawa-2?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Specjaliści, Balwierz, Restauracje",,0.0,0,52.2862091,20.9342499,yelp:barbers
Estetyka Paweł Mazgajski Katarzyna Popek,"Józefa Mehoffera 68d, 03-131, Warszawa",Bielany,+48226372460,https://www.yelp.pl/biz/estetyka-pawe%C5%82-mazgajski-katarzyna-popek-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,Balwierz,,0.0,0,52.3316689,20.9575901,yelp:barbers
Fabryka Lalek,"ul. Adolfa Pilcha Doliny 2, 01-915, Warszawa",Bielany,+48606835587,https://www.yelp.pl/biz/fabryka-lalek-warszawa-3?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Pielęgnacja skóry, Manikiur i pedikiur, Przedłużanie rzęs",50–150 PLN,5.0,1,52.2829332,20.9450426,yelp:skincare
Pracownia Fryzjersko Kosmetyczna Anna Krupiska,"Władysława Broniewskiego 71, 01-856, Warszawa",Bielany,+48224257420,https://www.yelp.pl/biz/pracownia-fryzjersko-kosmetyczna-anna-krupiska-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,Balwierz,,0.0,0,52.2697906,20.9488697,yelp:barbers
Salon Kosmetyczny Na Bóstwo,"ul. Wólczyńska 65 / U4A, 01-931, Warszawa",Bielany,+48731227300,https://www.yelp.pl/biz/salon-kosmetyczny-na-b%C3%B3stwo-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Fryzjer, Depilacja, Pielęgnacja skóry",,0.0,0,52.28159,20.92125,yelp:skincare
Salon Urody Nefertiti,"ul. Agorze 13 / 3, 01-960, Warszawa",Bielany,+48228642221,https://www.yelp.pl/biz/salon-urody-nefertiti-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Pielęgnacja skóry, Fryzjer, Manikiur i pedikiur",,3.0,1,52.2926483,20.9395008,yelp:skincare
Si Bella Spa,"ul. Strumykowa 6A, 03-138, Warszawa",Bielany,+48224000010,https://www.yelp.pl/biz/si-bella-spa-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Fryzjer, Masaż, Pielęgnacja skóry",,0.0,0,52.32579,20.94596,yelp:skincare
Skin Institute,"ul. Klaudyny 28A, 01-684, Warszawa",Bielany,+48228322332,https://www.yelp.pl/biz/skin-institute-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Masaż, Pielęgnacja skóry, Przedłużanie rzęs",,3.0,1,52.2831802,20.9720497,yelp:skincare
Studio Glamour,"ul. Ćmielowska 2, 03-185, Warszawa",Bielany,+48224230555,https://www.yelp.pl/biz/studio-glamour-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Pielęgnacja skóry, Depilacja laserowa, Manikiur i pedikiur",,3.0,1,52.3173199768946,20.9519040584564,yelp:skincare
Studio Sara,"Klaudyny 36 /  12, 01-684, Warszawa",Bielany,+48226227174,https://www.yelp.pl/biz/studio-sara-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Balwierz, Usługi edukacyjne",,0.0,0,52.2855301,20.9733791,yelp:barbers
Yves Rocher,Warszawa,Bielany,+48327700700,https://www.yelp.pl/biz/yves-rocher-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,Kosmetyki,50–150 PLN,4.0,2,52.2947275,20.9303699,overpass+yelp
Beauty Clinic - Agnieszka Mróz,"ul. walbrzyska 11 / 13, 02-739, Warszawa",Mokotów,+48600608066,https://www.yelp.pl/biz/beauty-clinic-agnieszka-mr%C3%B3z-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Pielęgnacja skóry, Przedłużanie rzęs, Kolczykowanie",,0.0,0,52.1730499,21.0249805,yelp:skincare
Centrum Zaopatrzenia Fryzjerów Marek Różycki,"Podchorążych 26, 00-721, Warszawa",Mokotów,+48228402973,https://www.yelp.pl/biz/centrum-zaopatrzenia-fryzjer%C3%B3w-marek-r%C3%B3%C5%BCycki-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Balwierz, Drogerie, Zdrowie i medycyna",,0.0,0,52.207901,21.0454903,yelp:barbers
Colette MakeUp Artist & Stylist,"ul. Bokserska 1, 02-682, Warszawa",Mokotów,+48601273099,https://www.yelp.pl/biz/colette-makeup-artist-a-stylist-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Makijażyści, Fryzjer",,0.0,0,52.1673623,21.0070026,yelp:makeupartists
Cyrulik,"ul. Postępu 10, 02-676, Warszawa",Mokotów,+48221215575,https://www.yelp.pl/biz/cyrulik-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,Fryzjer,50–150 PLN,5.0,4,52.1754417,20.9952507,yelp:hair+yelp
Degażeria,"ul. Aleksandra Zelwerowicza 95, 02-928, Warszawa",Mokotów,+48222533835,https://www.yelp.pl/biz/dega%C5%BCeria-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,Fryzjer,150–300 PLN,4.0,6,52.1816101,21.0578194,yelp:hair
Evaneo Studio,"ul. Garażowa 7 / 4, 02-651, Warszawa",Mokotów,+48791447790,https://www.yelp.pl/biz/evaneo-studio-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Manikiur i pedikiur, Makijażyści, Depilacja laserowa",,0.0,0,52.18754,21.00385,yelp:makeupartists
Franck Provost,"ul. Puławska 25A, Warszawa",Mokotów,+48226464647,https://www.yelp.pl/biz/franck-provost-warszawa-2?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,Fryzjer,150–300 PLN,3.5,4,52.2093,21.0219,yelp:hair
Gmw Capital,"Odyca 71 /  49, 02-644, Warszawa",Mokotów,+48228444069,https://www.yelp.pl/biz/gmw-capital-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,Balwierz,,0.0,0,52.1949615,21.0041294,yelp:barbers
Gold Way Hurt Detal Bożena Pawłowska,"Korczyska 11 /  1, 00-148, Warszawa",Mokotów,+48226350733,https://www.yelp.pl/biz/gold-way-hurt-detal-bo%C5%BCena-paw%C5%82owska-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Balwierz, Zakupy",,0.0,0,52.1894112,21.0512409,yelp:barbers
Halka,"ul. Puławska 43, 00-834, Warszawa",Mokotów,+48509593305,https://www.yelp.pl/biz/halka-warszawa-2?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Polska, Bary",50–150 PLN,4.9,9,52.2067020323897,21.0234365612268,yelp:nailedsalons
Indian Beauty Salon,"ul. Czerniakowska 18 / 2, 00-701, Warszawa",Mokotów,+48729268290,https://www.yelp.pl/biz/indian-beauty-salon-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Fryzjer, Pielęgnacja skóry, Manikiur i pedikiur",,0.0,0,52.1973586,21.0526726,yelp:skincare
Izabela Makosz,"Domaniewska 35a, 05-500, Warszawa",Mokotów,+48227509142,https://www.yelp.pl/biz/izabela-makosz-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Balwierz, Zdrowie i medycyna",,0.0,0,52.1831703,21.0085602,yelp:barbers
Katarzyna Borowska Rubin,"ul. Konstanciska 3, 02-942, Warszawa",Mokotów,+48228424753,https://www.yelp.pl/biz/katarzyna-borowska-rubin-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Pielęgnacja skóry, Fryzjer",,0.0,0,52.1861992,21.0608196,yelp:skincare
Klinika Młodości Blanka Pawłowska,"ul. Cybernetyki 4A / U3, 02-677, Warszawa",Mokotów,+48530787432,https://www.yelp.pl/biz/klinika-m%C5%82odo%C5%9Bci-blanka-paw%C5%82owska-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Pielęgnacja skóry, Makijaż permanentny, Manikiur i pedikiur",,0.0,0,52.175787,20.998112,yelp:skincare
Klinika Urody Laura,"ul. Modzelewskiego 37, 02-600, Warszawa",Mokotów,+48228474067,https://www.yelp.pl/biz/klinika-urody-laura-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Fryzjer, Pielęgnacja skóry, Depilacja",,0.0,0,52.1804008,21.0134296,yelp:skincare
La Como Studio Fryzjersko-Kosmetyczne,"ul.Wałbrzyska 11 / 202a, 02-739, Warszawa",Mokotów,+48225499305,https://www.yelp.pl/biz/la-como-studio-fryzjersko-kosmetyczne-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Kosmetyki, Pielęgnacja skóry, Fryzjer",50–150 PLN,3.0,1,52.1730499,21.0249805,yelp:skincare
Naturalnie To Tu,"ul. Powsińska 106, 02-903, Warszawa",Mokotów,+48534022088,https://www.yelp.pl/biz/naturalnie-to-tu-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Pielęgnacja skóry, Fryzjer, Manikiur i pedikiur",,0.0,0,52.1928399,21.05744,yelp:skincare
Perfumeria Kokai,"ul. Wróbla 23, 02-736, Warszawa",Mokotów,+48221001453,https://www.yelp.pl/biz/perfumeria-kokai-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Drogerie, Kosmetyki",50–150 PLN,4.3,3,52.1762223748682,21.0321829095483,yelp:beautysvc
Restauracja Polska Różana,"ul. Chocimska 7, 00-791, Warszawa",Mokotów,+48228481225,https://www.yelp.pl/biz/restauracja-polska-r%C3%B3%C5%BCana-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,Polska,150–300 PLN,4.8,69,52.20839,21.02347,yelp:nailedsalons
Restauracja Stary Dom,"ul. Puławska 104/106, 02-620, Warszawa",Mokotów,+48226464208,https://www.yelp.pl/biz/restauracja-stary-dom-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,Polska,150–300 PLN,4.4,61,52.19574,21.02382,yelp:nailedsalons
Rituals Salon & Spa,"ul. Narbutta 83 / U4, 02-524, Warszawa",Mokotów,+48224033737,https://www.yelp.pl/biz/rituals-salon-a-spa-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Fryzjer, Spa",,5.0,1,52.2037392,21.0034008,yelp:hair
Salon & Day Spa Escape,"ul. Woziwody 15, 02-943, Warszawa",Mokotów,+48602322033,https://www.yelp.pl/biz/salon-a-day-spa-escape-warszawa-2?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Spa, Masaż, Pielęgnacja skóry",,0.0,0,52.189787,21.063237,yelp:skincare
Salon Denique,"al. Niepodległości 92 / 98, 02-585, Warszawa",Mokotów,+48224092530,https://www.yelp.pl/biz/salon-denique-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Fryzjer, Pielęgnacja skóry, Depilacja laserowa",,3.0,2,52.1982341,21.0127621,yelp:skincare
Salon Fryzjerski Marla Marlena Karwowska,"ul. Powsiska 42, 02-903, Warszawa",Mokotów,+48228425512,https://www.yelp.pl/biz/salon-fryzjerski-marla-marlena-karwowska-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,Balwierz,,0.0,0,52.1889687,21.0615997,yelp:barbers
Salon Kosmetyczny Alga,"ul. Wałbrzyska 11 / 43 / 44, 05-077, Warszawa",Mokotów,+48225499033,https://www.yelp.pl/biz/salon-kosmetyczny-alga-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Pielęgnacja skóry, Przedłużanie rzęs, Fryzjer",,0.0,0,52.17241,21.025107,yelp:skincare
Salon Modzelewskiego,"ul. Zygmunta Modzelewskiego 23, 02-679, Warszawa",Mokotów,+48228573400,https://www.yelp.pl/biz/salon-modzelewskiego-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Fryzjer, Manikiur i pedikiur",,5.0,2,52.18974,21.013685,yelp:hair
Studio Urody Avena,"Soczi 2a, 02-760, Warszawa",Mokotów,+48226422367,https://www.yelp.pl/biz/studio-urody-avena-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Pielęgnacja skóry, Fryzjer, Manikiur i pedikiur",,0.0,0,52.1811905,21.0541191,yelp:skincare
Baku City Barbershop,"ul. Grójecka 216, 02-120, Warszawa",Ochota,+48669007777,https://www.yelp.pl/biz/baku-city-barbershop-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,Balwierz,,1.0,2,52.19837,20.96482,yelp:barbers
Body Line,"ul. Szczęśliwicka 33, 02-353, Warszawa",Ochota,+48228231428,https://www.yelp.pl/biz/body-line-warszawa-2?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Przedłużanie rzęs, Manikiur i pedikiur, Pielęgnacja skóry",,0.0,0,52.214678,20.96989,yelp:skincare
Collagen Up,"ul. Banacha 14, 02-097, Warszawa",Ochota,+48501648061,https://www.yelp.pl/biz/collagen-up-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Pielęgnacja skóry, Modelowanie sylwetki, Makijażyści",,0.0,0,52.21139,20.97956,yelp:skincare+yelp
Cosmetology Clinic,"ul. Mochnackiego 10, 02-042, Warszawa",Ochota,+48728294644,https://www.yelp.pl/biz/cosmetology-clinic-warszawa-2?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Pielęgnacja skóry, Spa medyczne",,0.0,0,52.2172813,20.9842205,yelp:skincare
Elżbieta Furjan,"Wiślicka 8, 02-114, Warszawa",Ochota,+48226596126,https://www.yelp.pl/biz/el%C5%BCbieta-furjan-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,Uroda i salony Spa,,0.0,0,52.2033386,20.9782391,yelp:beautysvc
Fryzjerstwo Damskie,"Białobrzeska 5, 02-379, Warszawa",Ochota,+48228229444,https://www.yelp.pl/biz/fryzjerstwo-damskie-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,Uroda i salony Spa,,0.0,0,52.2083893,20.9685898,yelp:beautysvc
Fryzma&Kosma,"ul. Bruna 34, 02-523, Warszawa",Ochota,+48228254603,https://www.yelp.pl/biz/fryzma-a-kosma-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Fryzjer, Manikiur i pedikiur",50–150 PLN,3.0,1,52.2065887,20.9996796,yelp:hair
Iza B Coiffure En Vogue Izabella Boguszewska,"ul. Artura Zawiszy 1, 02-025, Warszawa",Ochota,+48225791036,https://www.yelp.pl/biz/iza-b-coiffure-en-vogue-izabella-boguszewska-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,Makijażyści,,0.0,0,52.2246017,20.9895496,yelp:makeupartists
Jeff's,"Pole Mokotowskie, 02-092, Warszawa",Ochota,+48228251650,https://www.yelp.pl/biz/jeffs-warszawa-6?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Grill, Bary, Amerykańska",50–150 PLN,3.3,61,52.2109685367612,20.9888366665824,yelp:nailedsalons
Justyna Wiktorska,"Ppłk. Mieczysława Grzymały-Sokołowskiego 18, 02-324, Warszawa",Ochota,+48226149857,https://www.yelp.pl/biz/justyna-wiktorska-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,Fryzjer,,0.0,0,52.2182846,20.9759197,yelp:hair+yelp
Kencin Asian Nail Art,"al. Niepodleglosci 177, 02-555, Warszawa",Ochota,+48729447297,https://www.yelp.pl/biz/kencin-asian-nail-art-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,Manikiur i pedikiur,,5.0,2,52.21013,21.00644,yelp:beautysvc
